,Token_id,Trait_count,Trait_list
0,0,7,"['Water', 'Pink Oversized Kimono', 'Off White A', 'Frown', 'Monkey King Staff', 'Human', 'Striking']"
1,1,7,"['Off White D', 'Daydreaming', 'Pink Hairband', 'White Qipao with Fur', 'Gloves', 'Lipstick', 'Human']"
2,2,7,"['Red', 'Pink Flowy', 'Chewing', 'Ruby', 'Vest', 'Human', 'Red Tassel']"
3,3,9,"['Red', 'Green Spiky', 'Frog Headphones', 'Katana', 'Grass', 'Green Yukata', 'Careless', 'Human', 'Frog Headband']"
4,4,7,"['Smirk', 'Brown Dreadlocks', 'Off White D', 'Katana', 'White Qipao with Fur', 'Lightning', 'Human']"
5,5,8,"['Red', 'Red Stripes Face Paint', 'Red Perfecto Jacket', 'Suspicious', 'Leather Katana', 'Human', 'Blonde Swept Back', 'Chuckle']"
6,6,7,"['Teal Bun', 'Off White A', 'Tongue Out', 'Alpine Jacket', 'Leather Katana', 'Calm', 'Human']"
7,7,8,"['Off White A', 'Full Bandana', 'Orange Samurai', 'Suspicious', 'Bubble Gum', 'Leather Katana', 'Human', 'Light Kimono']"
8,8,8,"['Hoodie', 'Choker', 'Silver Pixie', 'Off White B', 'Grass', 'Human', 'Relaxed', 'Blush']"
9,9,7,"['Chill', 'Silver Spiky', 'Off White D', 'Bat', 'Chuckle', 'White Yukata', 'Blue']"
10,10,8,"['Black Bucket Hat', 'Blue Kimono', 'Off White C', 'Sakura Katana', 'Human', 'Green Samurai', 'Chuckle', 'Closed']"
11,11,7,"['Golden Hook Sword', 'Wheat Straw', 'Off White D', 'Pensive', 'White Hoodie', 'Orange Swept Back', 'Human']"
12,12,7,"['Relaxed', 'Off White A', 'Suspicious', 'Black Yukata', 'Sakura Katana', 'Human', 'Blonde Swept Back']"
13,13,7,"['Teal Long', 'Off White A', 'Tired', 'Bat', 'Not Bad', 'Human', 'Light Kimono']"
14,14,8,"['Closed', 'Smile', 'Off White D', 'Blonde Bob', 'Guitar', 'Human', 'Red Fang Face Paint', 'Light Kimono']"
15,15,8,"['Hoodie', 'Choker', 'Ruby', 'Grin', 'Purple Bun', 'Off White C', 'Human', 'Banner']"
16,16,9,"['Red', '420', 'Distressed Beanie', 'Black Perfecto Jacket', 'Braids', 'Human', 'Small Hoop', 'Boombox', 'Closed']"
17,17,7,"['Wheat Straw', 'Bokken', 'Denim Jacket', 'Off White D', 'Pierced Eyebrow', 'Human', 'Silver Disheveled']"
18,18,9,"['Red Kimono', 'Chain', 'Off White D', 'Closed', 'Lantern', 'Blue Sunglasses', 'Human', 'Black Disheveled', 'Determined']"
19,19,10,"['Red', 'Red Qipao with Fur', 'Tribal Tattoo', 'Red Cylinder', 'Silver Bun', 'Floorsweeper', 'Smoking', 'Human', 'Red Fang Face Paint', 'Determined']"
20,20,7,"['Zanbato', 'Smirk', 'Blue Half Bun', 'Off White D', 'Camo Hoodie', 'Human', 'Bored']"
21,21,7,"['Zen Headphones', 'Powder Blue Swept Back', 'Off White B', 'Tired', 'Green Yukata', 'Human', 'Tactical Knife']"
22,22,8,"['Indifferent', 'Relaxed', 'Off White B', 'Blue Short Spiky', 'Chef Headband', 'Azuki Tech Jacket', 'Leather Katana', 'Human']"
23,23,7,"['Red', 'Black Hairband', 'Black Qipao', 'Whistling', 'Human', 'Amethyst', 'Hand Seal']"
24,24,8,"['Joyful', 'Turquoise Kimono', 'Maroon Bun', 'Frown', 'Off White C', 'Pointy Straw Hat', 'Human', 'Banner']"
25,25,8,"['Zen Headphones', 'Cloud Poncho', 'Maroon Half Bun', 'Off White B', 'Lantern', 'Human', 'Closed', 'Closed']"
26,26,7,"['Smile', 'Off White A', 'Blue Half Bun', 'Blue Qipao', 'Human', 'Shuriken', 'Striking']"
27,27,7,"['Black Qipao', 'Off White D', 'Lipstick', 'Sleep Mask', 'Human', 'Brown Blonde Flowy', 'Closed']"
28,28,6,"['Cool Gray', 'Brown Messy', 'Black Yukata', 'Smoking', 'Human', 'Determined']"
29,29,8,"['Kimono with Jacket', 'Indifferent', 'Reading Glasses', 'Off White B', 'Floorsweeper', 'Human', 'Silver Disheveled', 'Closed']"
30,30,8,"['Red Stripes Face Paint', 'Relaxed', 'Brown Disheveled', 'Off White B', 'Azuki Sweater', 'Human', 'Banner', 'Bored']"
31,31,7,"['Smirk', 'Off White D', 'Koi Tattoo', 'Blue Qipao', 'Human', 'Brown Blonde Flowy', 'Closed']"
32,32,7,"['Black Bucket Hat', 'Red Hoodie', 'Relaxed', 'Off White C', 'Blue Nightshade Flowy', 'Human', 'Relaxed']"
33,33,7,"['Teal Hairband', 'Corded Earbuds', 'Off White A', 'Red Floral Kimono', 'Human', 'Face Mask', 'Closed']"
34,34,8,"['Orange Short Spiky', 'Chill', 'Sloth Headband', 'Dress Shirt', 'Off White D', 'Grass', 'Human', 'Banner']"
35,35,7,"['Maroon Yukata', 'Relaxed', 'Chill', 'Orange Samurai', 'Off White B', 'Tired', 'Human']"
36,36,9,"['Cool Gray', 'Buzzcut', 'Indifferent', 'Black Glasses', 'Boombox', 'Black Kimono', 'Human', 'IKZ Baseball Cap', 'Closed']"
37,37,7,"['Tongue Out', 'Ruby', 'White Hoodie', 'Floorsweeper', 'Human', 'Pink Bangs', 'Off White A']"
38,38,7,"['Smirk', 'Off White A', 'Joyful', 'Camo Tech Jacket', 'Katana', 'Indigo Bangs', 'Human']"
39,39,7,"['Pink Flowy', 'Off White A', 'Tongue Out', 'Leather Katana', 'Human', 'Light Armor', 'Closed']"
40,40,8,"['Brown Long', 'Cool Gray', 'Fireflies', 'Straw Poncho', 'Tired', 'Lantern', 'Long Stubble', 'Human']"
41,41,7,"['Off White B', 'Grass', 'Tired', 'Green Yukata', 'Bat', 'Human', 'Blonde Long']"
42,42,7,"['Smirk', 'Backwards Cap', 'Orange Pixie', 'Off White A', 'Azuki Sweater', 'Human', 'Amethyst']"
43,43,8,"['Stud', 'Bean Juice', 'Black Qipao', 'Laughing', 'Off White B', 'Human', 'Brown Blonde Flowy', 'Determined']"
44,44,8,"['Turquoise Kimono', 'Off White D', 'Blonde Flowy', 'Red Panda Headphones', 'Frown', 'Lantern', 'Human', 'Determined']"
45,45,7,"['Zen Headphones', 'Off White A', 'Laughing', 'Turquoise Kimono with Bow', 'Human', 'Purple Dreadlocks', 'Hopeful']"
46,46,7,"['Off White A', 'Frog T-Shirt', 'Tongue Out', 'Hand Seal', 'Human', 'Indigo Ponytail', 'Striking']"
47,47,7,"['Purple Spiky', 'Off White D', 'Brown Yukata', 'Skateboard', 'Human', 'Growl', 'Bored']"
48,48,7,"['Scroll', 'Straw Hat', 'Green Yukata', 'Off White C', 'Brown Samurai', 'Human', 'Determined']"
49,49,7,"['Cool Gray', 'Hoshi Jacket', 'Maroon Disheveled', 'Careless', 'Human', 'Growl', 'Shuriken']"
50,50,7,"['Wheat Straw', 'Off White A', 'Full Bandana', 'Turquoise Kimono', 'Indigo Bangs', 'Human', 'Determined']"
51,51,7,"['Red', 'Black Ninja Top', 'Lipstick', 'Indigo Bangs', 'Sakura Katana', 'Human', 'Relaxed']"
52,52,7,"['Yellow Jumpsuit', 'Off White D', 'Blue Short Spiky', 'Whistling', 'Careless', 'Human', 'Red Panda Baseball Cap']"
53,53,8,"['Brown Messy', 'Hand Wrap', 'Bloody Bomber', 'Off White C', 'Blue Sunglasses', 'Human', 'Chuckle', 'Determined']"
54,54,7,"['Sloth Kimono', 'Dark Blue', 'Smile', 'Guitar', 'Violet Flowy', 'Calm', 'Human']"
55,55,7,"['Red', 'Smirk', 'Brown Fluffy', 'Indifferent', 'Alpine Jacket', 'Human', 'Boombox']"
56,56,8,"['Face Mask', 'Red', 'Gloves', 'Tired', 'Human', 'Black Hoodie', 'IKZ Baseball Cap', 'Black Disheveled']"
57,57,8,"['Black Glasses', 'Off White A', 'Scroll', 'Katana', 'Pierced Eyebrow', 'Human', 'Light Kimono', 'Brown Ponytail']"
58,58,7,"['Guitar', 'Tired', 'Green Fluffy', 'Off White C', 'Suit with Turtleneck', 'Smoking', 'Human']"
59,59,8,"['Backwards Cap', 'Off White D', 'White T-Shirt', 'Pout', 'Human', 'Eye Patch', 'Closed', 'Blonde Long']"
60,60,7,"['Coin', 'Green Yukata', 'Off White C', 'Smoking', 'Human', 'Bored', 'Purple Spiky']"
61,61,9,"['Meh', 'Cool Gray', 'Red Kimono', 'Chain', 'Eye Patch', 'Human', 'Banner', 'Green Samurai', 'Closed']"
62,62,7,"['Smirk', 'Silver Short Spiky', 'Coin', 'Blue Kimono', 'Off White C', 'Meditating', 'Blue']"
63,63,7,"['Magenta Flowy', 'Cat Kimono', 'Off White B', 'Hopeful', 'Monk Staff', 'Human', 'Closed']"
64,64,6,"['Red', 'Indifferent', 'Orange Samurai', 'Human', 'Black Hoodie', 'Face Mask']"
65,65,6,"['Off White D', 'Black Swept Back', 'Cat Yukata', 'Whistling', 'Human', 'Determined']"
66,66,7,"['Blonde Short Spiky', 'Coin', 'Off White B', 'Green Yukata', 'Meditating', 'Not Bad', 'Human']"
67,67,7,"['Hand Wrap', 'Off White B', 'Tank Top with Jacket', 'Lipstick', 'Black Bangs', 'Human', 'Amethyst']"
68,68,6,"['Red', 'Yellow Bikini', 'Grass', 'Brown Ponytail', 'Human', 'Striking']"
69,69,7,"['Indifferent', 'Brown Disheveled', 'Off White B', 'Hawaiian Shirt', '420', 'Human', 'Hand Seal']"
70,70,8,"['Teal Bun', 'Off White B', 'Lipstick', 'Red Floral Kimono', 'Human', 'Banner', 'Tribal Tattoo', 'Determined']"
71,71,7,"['Towel', 'Relaxed', 'Focused', 'Off White D', 'Brown Yukata', 'Indigo Disheveled', 'Human']"
72,72,7,"['Off White D', 'Grass', 'Blue Kimono with Bow', 'Blue Bun', 'Lantern', 'Human', 'Determined']"
73,73,7,"['Red Stripes Face Paint', 'Off White D', 'Frown', 'Maroon Ponytail', 'Turquoise Kimono with Bow', 'Calm', 'Human']"
74,74,7,"['Black Kimono', 'Off White B', 'Lantern', 'Indigo Disheveled', 'Human', 'Determined', 'Relaxed']"
75,75,7,"['Off White A', 'White T-Shirt', 'Pout', 'Pensive', 'Black Swept Back', 'Human', 'Shuriken']"
76,76,7,"['Red', 'Ayaigasa', 'Black Qipao', 'Silver Bangs', 'Bubble Gum', 'Human', 'Closed']"
77,77,9,"['420', 'Brown Messy', 'Backwards Cap', 'Chill', 'Azuki Sweater', 'Off White C', 'Careless', 'Fireball', 'Human']"
78,78,7,"['Orange Short Spiky', 'Stubble', 'Red Perfecto Jacket', 'Focused', 'Off White A', 'Human', 'Hook Sword']"
79,79,6,"['Chill', 'Off White D', 'White Hoodie', 'Orange Swept Back', 'Whistling', 'Human']"
80,80,8,"['Red Kimono', 'Chain', 'Teal Long', 'Off White A', 'Chill', 'Pout', 'Meditating', 'Human']"
81,81,6,"['Human', 'Lavender Kimono with Bow', 'Joyful', 'Off White D', 'Scroll', 'Brown Flowy']"
82,82,7,"['Smile', 'Off White C', 'Lantern', 'Indigo Bangs', 'Human', 'Frog Hoodie', 'Closed']"
83,83,7,"['Kimono with Jacket', 'Horns', 'Relaxed', 'Focused', 'Orange Samurai', 'Off White C', 'Human']"
84,84,8,"['Full Bandana', 'Off White D', 'Suikan', 'Lantern', 'Smoking', 'Human', 'Green Half Bun', 'Closed']"
85,85,7,"['Red Hoodie', 'Off White A', 'Pink Samurai', 'Tired', 'Cat Baseball Cap', 'Human', 'Chuckle']"
86,86,7,"['Chuckle', 'Camo Tech Jacket', 'Off White D', 'Meditating', 'Human', 'Small Hoop', 'Black Fluffy']"
87,87,10,"['Cool Gray', 'Fireflies', 'Round Purple Sunglasses', 'Indigo Long', 'Meditating', 'Vegan Mink Coat', 'Fireball', 'Smoking', 'Human', 'Fur Bucket Hat']"
88,88,7,"['Relaxed', 'Backwards Cap', 'Purple Bangs', 'Off White D', 'Human', 'Relaxed', 'Hoodie with Bag']"
89,89,8,"['Meh', 'Off White A', 'Suspicious', 'Blue Kimono', 'Leather Katana', 'Human', 'Fur Bucket Hat', 'Green Samurai']"
90,90,6,"['Smirk', 'Silver Pixie', 'Red', 'Ruby', 'Off White D', 'Red Floral Kimono']"
91,91,7,"['Toothpick', 'Bean Juice', 'Red Qipao with Fur', 'Off White A', 'Blonde Flowy', 'Human', 'Closed']"
92,92,7,"['Denim Jacket', 'Off White D', 'Katana', 'Pink Hairband', 'Calm', 'Human', 'Face Mask']"
93,93,7,"['Meh', 'Powder Blue Swept Back', 'Focused', 'Blue Kimono', 'Off White C', 'Sakura Katana', 'Human']"
94,94,8,"['Hoodie', 'Choker', 'Laughing', 'Off White C', 'Blue Bun', 'Human', 'Seer Eyeband', 'Closed']"
95,95,6,"['Smirk', 'Brown Bangs', 'Off White D', 'Concerned', 'Blue Qipao', 'Human']"
96,96,7,"['Zanbato', 'Brown Spiky', 'Pensive', 'White Hoodie', 'Gaiter', 'Off White C', 'Human']"
97,97,7,"['Toothpick', 'Silver Swept Back', 'Zanbato', 'Dark Blue', 'Red Panda T-Shirt', 'Human', 'Closed']"
98,98,7,"['Blonde Short Spiky', 'Fur Hoodie', 'Dark Purple', 'Coin', 'Human', 'Face Mask', 'Determined']"
99,99,7,"['Sake', 'Red', 'Relaxed', 'Focused', 'Red', 'Azuki Track Jacket', 'Magenta Messy']"
100,100,7,"['Stitched Samurai Armor', 'Blue Bob', 'Glowing', 'Off White B', 'Lipstick', 'Human', 'Chill Headphones']"
101,101,8,"['Katana', 'Blue Short Spiky', 'Beads', 'Bloody Bomber', 'Closed', 'Off White C', 'Human', 'Determined']"
102,102,8,"['Cat Headband', 'Focused', 'Coin', 'Off White B', 'Powder Blue Disheveled', 'Human', 'Growl', 'Light Kimono']"
103,103,9,"['Meh', 'Red', 'Skull Ear Cuffs', 'Azuki Sweater', 'Braids', 'Pierced Eyebrow', 'Human', 'Boombox', 'Contract Tattoo']"
