,Hair,Clothing,Background,Mouth,Offhand,Type,Eyes,Token_id,Trait_count,Ear,Neck,Headgear,Face,Special
0,Water,Pink Oversized Kimono,Off White A,Frown,Monkey King Staff,Human,Striking,0,7,,,,,
1,Pink Hairband,White Qipao with Fur,Off White D,Lipstick,Gloves,Human,Daydreaming,1,7,,,,,
2,Pink Flowy,Vest,Red,Chewing,,Human,Ruby,2,7,Red Tassel,,,,
3,Green Spiky,Green Yukata,Red,Grass,Katana,Human,Careless,3,9,,Frog Headphones,Frog Headband,,
4,Brown Dreadlocks,White Qipao with Fur,Off White D,Smirk,Katana,Human,Lightning,4,7,,,,,
5,Blonde Swept Back,Red Perfecto Jacket,Red,Chuckle,Leather Katana,Human,Suspicious,5,8,,,,Red Stripes Face Paint,
6,Teal Bun,Alpine Jacket,Off White A,Tongue Out,Leather Katana,Human,Calm,6,7,,,,,
7,Orange Samurai,Light Kimono,Off White A,Bubble Gum,Leather Katana,Human,Suspicious,7,8,,,Full Bandana,,
8,Silver Pixie,Hoodie,Off White B,Grass,,Human,Relaxed,8,8,,Choker,,Blush,
9,Silver Spiky,White Yukata,Off White D,Chuckle,Bat,Blue,Chill,9,7,,,,,
10,Green Samurai,Blue Kimono,Off White C,Chuckle,Sakura Katana,Human,Closed,10,8,,,Black Bucket Hat,,
11,Orange Swept Back,White Hoodie,Off White D,Wheat Straw,Golden Hook Sword,Human,Pensive,11,7,,,,,
12,Blonde Swept Back,Black Yukata,Off White A,Relaxed,Sakura Katana,Human,Suspicious,12,7,,,,,
13,Teal Long,Light Kimono,Off White A,Not Bad,Bat,Human,Tired,13,7,,,,,
14,Blonde Bob,Light Kimono,Off White D,Smile,Guitar,Human,Closed,14,8,,,,Red Fang Face Paint,
15,Purple Bun,Hoodie,Off White C,Grin,Banner,Human,Ruby,15,8,,Choker,,,
16,Braids,Black Perfecto Jacket,Red,420,Boombox,Human,Closed,16,9,Small Hoop,,Distressed Beanie,,
17,Silver Disheveled,Denim Jacket,Off White D,Wheat Straw,Bokken,Human,Pierced Eyebrow,17,7,,,,,
18,Black Disheveled,Red Kimono,Off White D,Closed,Lantern,Human,Determined,18,9,,Chain,,Blue Sunglasses,
19,Silver Bun,Red Qipao with Fur,Red,Smoking,Floorsweeper,Human,Determined,19,10,Red Cylinder,Tribal Tattoo,,Red Fang Face Paint,
