,Token_id,Two categories,Hair,Clothing,Background,Mouth,Offhand,Type,Eyes,Trait_count,Ear,Neck,Headgear,Face,Special
0,0,F,Water,Pink Oversized Kimono,Off White A,Frown,Monkey King Staff,Human,Striking,7,,,,,
1,1,F,Pink Hairband,White Qipao with Fur,Off White D,Lipstick,Gloves,Human,Daydreaming,7,,,,,
2,2,F,Pink Flowy,Vest,Red,Chewing,,Human,Ruby,7,Red Tassel,,,,
3,3,M,Green Spiky,Green Yukata,Red,Grass,Katana,Human,Careless,9,,Frog Headphones,Frog Headband,,
4,4,F,Brown Dreadlocks,White Qipao with Fur,Off White D,Smirk,Katana,Human,Lightning,7,,,,,
5,5,M,Blonde Swept Back,Red Perfecto Jacket,Red,Chuckle,Leather Katana,Human,Suspicious,8,,,,Red Stripes Face Paint,
6,6,F,Teal Bun,Alpine Jacket,Off White A,Tongue Out,Leather Katana,Human,Calm,7,,,,,
7,7,M,Orange Samurai,Light Kimono,Off White A,Bubble Gum,Leather Katana,Human,Suspicious,8,,,Full Bandana,,
8,8,F,Silver Pixie,Hoodie,Off White B,Grass,,Human,Relaxed,8,,Choker,,Blush,
9,9,M,Silver Spiky,White Yukata,Off White D,Chuckle,Bat,Blue,Chill,7,,,,,
10,10,M,Green Samurai,Blue Kimono,Off White C,Chuckle,Sakura Katana,Human,Closed,8,,,Black Bucket Hat,,
11,11,M,Orange Swept Back,White Hoodie,Off White D,Wheat Straw,Golden Hook Sword,Human,Pensive,7,,,,,
12,12,M,Blonde Swept Back,Black Yukata,Off White A,Relaxed,Sakura Katana,Human,Suspicious,7,,,,,
13,13,M,Teal Long,Light Kimono,Off White A,Not Bad,Bat,Human,Tired,7,,,,,
14,14,F,Blonde Bob,Light Kimono,Off White D,Smile,Guitar,Human,Closed,8,,,,Red Fang Face Paint,
15,15,F,Purple Bun,Hoodie,Off White C,Grin,Banner,Human,Ruby,8,,Choker,,,
16,16,M,Braids,Black Perfecto Jacket,Red,420,Boombox,Human,Closed,9,Small Hoop,,Distressed Beanie,,
17,17,M,Silver Disheveled,Denim Jacket,Off White D,Wheat Straw,Bokken,Human,Pierced Eyebrow,7,,,,,
18,18,M,Black Disheveled,Red Kimono,Off White D,Closed,Lantern,Human,Determined,9,,Chain,,Blue Sunglasses,
19,19,F,Silver Bun,Red Qipao with Fur,Red,Smoking,Floorsweeper,Human,Determined,10,Red Cylinder,Tribal Tattoo,,Red Fang Face Paint,
20,20,M,Blue Half Bun,Camo Hoodie,Off White D,Smirk,Zanbato,Human,Bored,7,,,,,
21,21,M,Powder Blue Swept Back,Green Yukata,Off White B,Tactical Knife,,Human,Tired,7,,Zen Headphones,,,
22,22,M,Blue Short Spiky,Azuki Tech Jacket,Off White B,Relaxed,Leather Katana,Human,Indifferent,8,,,Chef Headband,,
23,23,F,Black Hairband,Black Qipao,Red,Whistling,Hand Seal,Human,Amethyst,7,,,,,
24,24,F,Maroon Bun,Turquoise Kimono,Off White C,Frown,Banner,Human,Joyful,8,,,Pointy Straw Hat,,
25,25,F,Maroon Half Bun,Cloud Poncho,Off White B,Closed,Lantern,Human,Closed,8,,Zen Headphones,,,
26,26,F,Blue Half Bun,Blue Qipao,Off White A,Smile,Shuriken,Human,Striking,7,,,,,
27,27,F,Brown Blonde Flowy,Black Qipao,Off White D,Lipstick,,Human,Closed,7,,,,Sleep Mask,
28,28,M,Brown Messy,Black Yukata,Cool Gray,Smoking,,Human,Determined,6,,,,,
29,29,M,Silver Disheveled,Kimono with Jacket,Off White B,Closed,Floorsweeper,Human,Indifferent,8,,,,Reading Glasses,
30,30,M,Brown Disheveled,Azuki Sweater,Off White B,Relaxed,Banner,Human,Bored,8,,,,Red Stripes Face Paint,
31,31,F,Brown Blonde Flowy,Blue Qipao,Off White D,Smirk,,Human,Closed,7,,Koi Tattoo,,,
32,32,F,Blue Nightshade Flowy,Red Hoodie,Off White C,Relaxed,,Human,Relaxed,7,,,Black Bucket Hat,,
33,33,F,Teal Hairband,Red Floral Kimono,Off White A,Face Mask,,Human,Closed,7,Corded Earbuds,,,,
34,34,M,Orange Short Spiky,Dress Shirt,Off White D,Grass,Banner,Human,Chill,8,,,Sloth Headband,,
35,35,M,Orange Samurai,Maroon Yukata,Off White B,Relaxed,,Human,Tired,7,Chill,,,,
36,36,M,Buzzcut,Black Kimono,Cool Gray,Closed,Boombox,Human,Indifferent,9,,,IKZ Baseball Cap,Black Glasses,
37,37,F,Pink Bangs,White Hoodie,Off White A,Tongue Out,Floorsweeper,Human,Ruby,7,,,,,
38,38,F,Indigo Bangs,Camo Tech Jacket,Off White A,Smirk,Katana,Human,Joyful,7,,,,,
39,39,F,Pink Flowy,Light Armor,Off White A,Tongue Out,Leather Katana,Human,Closed,7,,,,,
40,40,M,Brown Long,Straw Poncho,Cool Gray,Long Stubble,Lantern,Human,Tired,8,,,,,Fireflies
41,41,M,Blonde Long,Green Yukata,Off White B,Grass,Bat,Human,Tired,7,,,,,
42,42,F,Orange Pixie,Azuki Sweater,Off White A,Smirk,,Human,Amethyst,7,,,Backwards Cap,,
43,43,F,Brown Blonde Flowy,Black Qipao,Off White B,Laughing,Bean Juice,Human,Determined,8,Stud,,,,
44,44,F,Blonde Flowy,Turquoise Kimono,Off White D,Frown,Lantern,Human,Determined,8,,Red Panda Headphones,,,
